epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5692,0.74893,2.9799,0.89349,0.52747,0.24912,0.48806,0.42145,0.57454,2.28024,0.83621,0.000193773,0.000193773,0.000193773
2,69.3554,0.63157,1.3534,0.86683,0.70072,0.85545,0.82203,0.71901,0.53596,0.98098,0.82345,0.000382055,0.000382055,0.000382055
3,99.5981,0.58242,0.99562,0.85573,0.86042,0.89416,0.9246,0.83274,0.46747,0.67483,0.80374,0.000562576,0.000562576,0.000562576
4,129.708,0.56194,0.89309,0.85498,0.89049,0.90565,0.94916,0.85478,0.46888,0.63255,0.80496,0.000553073,0.000553073,0.000553073
5,160.227,0.5469,0.78979,0.85129,0.96429,0.95521,0.9819,0.88879,0.45079,0.45227,0.80119,0.00054143,0.00054143,0.00054143
6,190.141,0.52824,0.69666,0.84761,0.97029,0.96523,0.98754,0.89432,0.4516,0.41081,0.80005,0.000529788,0.000529788,0.000529788
7,220.998,0.52203,0.66359,0.84841,0.96057,0.96158,0.9847,0.89998,0.43246,0.42241,0.79705,0.000518146,0.000518146,0.000518146
8,251.286,0.5036,0.64646,0.84302,0.96869,0.96871,0.9861,0.90545,0.4195,0.38666,0.794,0.000506503,0.000506503,0.000506503
9,282.91,0.49984,0.60895,0.84195,0.97551,0.9687,0.99055,0.91259,0.41146,0.36268,0.79423,0.000494861,0.000494861,0.000494861
10,312.615,0.49281,0.57992,0.84549,0.97862,0.97651,0.99189,0.90884,0.42216,0.34655,0.79635,0.000483218,0.000483218,0.000483218
11,341.959,0.49116,0.55222,0.8441,0.97583,0.97034,0.99004,0.91401,0.40099,0.35668,0.79279,0.000471576,0.000471576,0.000471576
12,371.665,0.48574,0.53128,0.8411,0.98267,0.97968,0.99273,0.91596,0.4068,0.32918,0.79167,0.000459934,0.000459934,0.000459934
13,401.22,0.48537,0.52401,0.84153,0.98064,0.97678,0.99142,0.91629,0.40387,0.31493,0.79186,0.000448291,0.000448291,0.000448291
14,430.874,0.47077,0.51423,0.839,0.98507,0.97763,0.99212,0.92235,0.3858,0.31324,0.78846,0.000436649,0.000436649,0.000436649
15,460.642,0.47161,0.49488,0.83795,0.9846,0.96951,0.99083,0.91947,0.38871,0.32274,0.7896,0.000425006,0.000425006,0.000425006
16,489.894,0.46834,0.48622,0.8386,0.97296,0.97131,0.98963,0.92193,0.38021,0.32529,0.78729,0.000413364,0.000413364,0.000413364
17,519.96,0.46294,0.46796,0.83466,0.98995,0.98433,0.9936,0.92774,0.37724,0.28959,0.78584,0.000401722,0.000401722,0.000401722
18,550.735,0.45985,0.45517,0.83688,0.98849,0.98425,0.99414,0.93112,0.36861,0.28231,0.78427,0.000390079,0.000390079,0.000390079
19,579.918,0.4519,0.4424,0.83675,0.99054,0.98,0.99325,0.9248,0.3852,0.28945,0.78721,0.000378437,0.000378437,0.000378437
20,609.101,0.45018,0.43247,0.83277,0.98947,0.98283,0.99319,0.93285,0.36296,0.27888,0.78232,0.000366794,0.000366794,0.000366794
21,639.01,0.44957,0.42809,0.83132,0.99178,0.98135,0.99383,0.93331,0.36151,0.27373,0.78244,0.000355152,0.000355152,0.000355152
22,668.706,0.44096,0.41409,0.83103,0.99044,0.98293,0.99288,0.93026,0.36403,0.27118,0.78326,0.00034351,0.00034351,0.00034351
23,698.706,0.44211,0.41084,0.83029,0.9933,0.98279,0.99439,0.93701,0.35471,0.26026,0.7804,0.000331867,0.000331867,0.000331867
24,728.911,0.43759,0.40874,0.82972,0.99507,0.98669,0.99391,0.93689,0.35372,0.26113,0.78089,0.000320225,0.000320225,0.000320225
25,758.842,0.42999,0.39876,0.83063,0.98768,0.98387,0.99405,0.93799,0.35055,0.25762,0.78006,0.000308582,0.000308582,0.000308582
26,791.904,0.43782,0.3986,0.83076,0.99437,0.98603,0.99394,0.93636,0.35501,0.24997,0.7807,0.00029694,0.00029694,0.00029694
